groupLocationId,primaryLocationId,groupName,primaryHotspotName
G564078,L317567,"Red Rock Reservoir IBA","Red Rock Reservoir (general location—HISTORICAL RECORDS ONLY)"
G537407,L463312,"Saylorville Reservoir IBA","Saylorville Reservoir (general location—HISTORICAL RECORDS ONLY)"
G054030,L1586644,"Lake Ahquabi/Hooper WA/Annett Nature Center IBA","Lake Ahquabi SP"
G299118,L283344,"Lake Rathbun Reservoir IBA","Rathbun Lake (general location)"
G430100,L1560145,"Clear Lake/Ventura Marsh IBA","Clear Lake (Cerro Gordo Co., IA)"
G975926,L1566444,"Sedan Wildlife Management Area IBA","Sedan Bottoms WMA"
G753512,L1484041,"Delaware State Forest","Delaware SF--Pecks Pond"
G410001,L342269,"Walden Ponds Wildlife Habitat","Walden Ponds Wildlife Habitat--Walden & Sawhill Ponds all together"
G739476,L992005,"Byrd Park System, Richmond","Carillon"
G313972,L11222417,"Bear Lake National Wildlife Refuge","Bear Lake NWR--general (please consider using a more specific hotspot)"
G024194,L207180,"Dutch Gap area","Dutch Gap Conservation Area/Henricus Historical Park"
G694655,L1756456,"Downtown Richmond","Virginia State Capitol Grounds"
G023966,L718737,"Smith Mountain Lake","Smith Mountain Lake State Park"
G465408,L718745,"Staunton River Battlefield State Park","Staunton River Battlefield State Park (Halifax Co.)"
G570903,L7251001,"Washington & Old Dominion Railroad Trail","Clark's Crossing Park"
G619249,L2521664,"Rooty Branch Lakes","Lake Rooty"
G255201,L718671,"Powhatan Wildlife Management Area (WMA)","Powhatan WMA--southern section"
G411823,L60117429,"Hammer Family Nature Preserve","Hammer Family Nature Preserve* general (use more precise loc.)"
G585508,L14186243,"Namozine Creek at Baltimore Road","Namozine Creek Swamp (Amelia Co.)"
G579266,L454512,"Blue Mound State Park","Blue Mounds SP (general)"
G471533,L37502307,"Killbuck Swamp Preserve","Killbuck Swamp Preserve (KWLT)--Spadderdock Pond"
G591481,L7407330,"North Bend Rail Trail","North Bend Rail Trail--East of Happy Valley Rd."
G397680,L6165443,"Coal River Water Trail","Danville Boat Launch"
G397549,L18038201,"Charles Fork Lake","Charles Fork Lake Dam and Campground"
G207267,L2465207,"Prince Edward-Gallion State Forest","Prince Edward-Gallion State Forest--Lipscomb Forest Road"
G993905,L4121677,"Sutton Lake","Sutton Lake--Sutton Dam"
G929969,L4482540,"Burnsville Lake","Burnsville Lake WMA--Burnsville Lake Dam and Tailwaters"
G794989,L4442202,"East Lynn Lake","East Lynn Lake--Dam Area"
G433203,L13091904,"Elk River Trail","Coonskin Park--Elk River Trail"
G425637,L829759,"Pleasant Creek Wildlife Management Area","Pleasant Creek WMA--Upper Pleasant Creek Rd. CR 10"
G125126,L2973269,"North Bend State Park","North Bend SP--Eldon Haught Lakeside Recreation Area"
G993819,L22333165,"Glenville State University","Pioneer Nature Trail"
G541152,L5071728,"Cumberland State Forest","Cumberland SF--Forestry Office Trailhead"
G107894,L4737565,"Fluvanna Heritage Trail","Pleasant Grove Park"
G124490,L7162045,"Tobacco Heritage Trail","Tobacco Heritage Trail--Boydton Trailhead"
G443945,L2939269,"R.D. Bailey Lake","R.D. Bailey Lake--Visitor Center"
G278503,L159333,"John Kerr Reservoir","John H. Kerr Reservoir--Tailrace Park"
G151350,L1041056,"Sandy River Reservoir","Sandy River Reservoir--Dam and Boat Launch Area"
G712493,L168383,"Hyrum State Park","Hyrum Reservoir & SP"
G310777,L422642,"Ragged Mountain Reservoir area","Ragged Mountain Natural Area"
G559477,L18845335,"Charlotte State Forest","Charlotte State Forest--Double Bridges Road Trailhead"
G254121,L5508718,"Groomes Point (Lake Anna)","Groomes Point (Orange Co., viewed from base of Pamunkey Bridge)"
G083516,L268076,"West Cape May","Cape Island--WCM (West Cape May)"
G939296,L12345567,"Beech Fork State Park","Beech Fork SP--Campground"
G405084,L773738,"Deckers Creek Rail-Trail","Decker's Creek Trail--McKinney Cave Rd./Burke Rd."
G682630,L756222,"Mon River Rail-Trail","Mon River Trail--Barill Park"
